action,subject,object,params.name,params.datatype,params.cardinality,params.ontology_class,params.parent_property,params.description,params.config,params.ontology_property,params.publication_id
create_branch,family_status,9693285a-f806-59ec-a82b-257971fa93dc,Family Status,,,,,,,,
add_node,family_status,srdf_386_1,Ascribed Relative,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E21_Person,https://ontology.swissartresearch.net/aaao/ZP30_ascribes_relative,,"{""graphs"": [{""graphid"": ""22477f01-1a44-11e9-b0a9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}, {""graphid"": ""d4a88461-5463-11e9-90d9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
