action,subject,object,params.name,params.datatype,params.cardinality,params.ontology_class,params.parent_property,params.description,params.config,params.ontology_property,params.publication_id
create_branch,promissory_event,01d5fcd0-d2d6-55df-b4bf-0d9cd50667d8,,,,,,,,,
add_node,promissory_event,morf_17_1,Morf 17 1,semantic,n,https://ontology.swissartresearch.net/aaao/ZE46_Promissory_Agreement_Event,http://www.cidoc-crm.org/cidoc-crm/P9_consists_of,,,,
add_node,morf_17_1,morf_18_1,Promise to,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,https://ontology.swissartresearch.net/aaao/ZP117_generated_promise_to,,"{""graphs"": [{""graphid"": ""22477f01-1a44-11e9-b0a9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}, {""graphid"": ""d4a88461-5463-11e9-90d9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,morf_17_1,morf_19_1,Promise Upon,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,https://ontology.swissartresearch.net/aaao/ZP118_generated_promise_upon,,"{""graphs"": [{""graphid"": ""22477f01-1a44-11e9-b0a9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}, {""graphid"": ""d4a88461-5463-11e9-90d9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,morf_17_1,morf_20_1,Morf 20 1,semantic,n,https://ontology.swissartresearch.net/aaao/ZE59_Plan,https://ontology.swissartresearch.net/aaao/ZP91_generated_promise_of,,,,
add_node,morf_20_1,morf_20_2,Promissory Subject,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,https://ontology.swissartresearch.net/aaao/ZP89_has_promissory_subject,,"{""graphs"": [{""graphid"": ""343cc20c-2c5a-11e8-90fa-0242ac120005"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
